what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.200.v200905120445,"org.eclipse.wst.jsdt.web.core",1349114603148
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.200.v200904230847,"org.eclipse.wst.jsdt.web.ui",1349114603148
started,bundle,org.eclipse.wst.sse.core,1.1.400.v200905141750,"org.eclipse.wst.sse.core",1349114603148
started,bundle,org.eclipse.wst.sse.ui,1.1.100.v200905141750,"org.eclipse.wst.sse.ui",1349114603171
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1349114603171
started,bundle,org.eclipse.wst.xml.core,1.1.400.v200904300540,"org.eclipse.wst.xml.core",1349114603195
started,bundle,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui",1349114603195
os,sysinfo,,,"win32",1349114603195
arch,sysinfo,,,"x86",1349114603195
ws,sysinfo,,,"win32",1349114603195
locale,sysinfo,,,"de_DE",1349114603195
processors,sysinfo,,,"2",1349114603195
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1349114603195
java.runtime.version,sysinfo,,,"1.7.0_05-b05",1349114603195
java.specification.name,sysinfo,,,"Java Platform API Specification",1349114603195
java.specification.vendor,sysinfo,,,"Oracle Corporation",1349114603195
java.specification.version,sysinfo,,,"1.7",1349114603195
java.vendor,sysinfo,,,"Oracle Corporation",1349114603195
java.version,sysinfo,,,"1.7.0_05",1349114603195
java.vm.info,sysinfo,,,"mixed mode, sharing",1349114603195
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1349114603195
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1349114603195
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1349114603195
java.vm.specification.version,sysinfo,,,"1.7",1349114603195
java.vm.vendor,sysinfo,,,"Oracle Corporation",1349114603195
